nombre_materia,codigo_materia,creditos_teoricos,creditos_practicos
Bio informatica,FIEC002196,0,0
BIOINGENIERÍA ALIMENTARIA,FIMP07641,4,1
BIOINGENIERIA (IA),FIMP05942,3,1
BIOL.CELULAR MOLECULAR,FIMP06155,3,0
BIOLOGÍA,BIOG1001,2,0
BIOLOGÍA,BIOG1001,2,0
BIOLOGÍA (2005),FMAR04093,3,0
BIOLOGIA GENERAL(ALIM.AGROP.ACUI),FMAR03343,3,0
BIOLOGIA I,FMAR02311,4,2
BIOLOGÍA II,FMAR02337,3,0
BIOLOGÍA MARINA,PRTP01487L,0,1
BIOLOGÍA MARINA,FMAR03855,2,2
BIOLOGÍA MARINA,PRTP01487,3,0
BIOLOGÍA MOLECULAR,FMAR04671,3,1
Biología Molecular Aplicada en Cultivos,FIMCP002667,0,0
BIOLOGÍA MOLECULAR MICROBIANA,FMAR04614,3,0
BIOLOGIA PESQUERA,PRTP01172,3,1
BIOLOG.Y ZOOLOG.APLICADA,FIMP00844,2,2
BIOPROCESOS,FMAR04002,2,1
BIOQUÍMICA,FMAR01990,3,1
BIOQUÍMICA ALIMENTARIA (IAL),FIMP06726L,0,1
BIOQUÍMICA ALIMENTARIA (IAL),FIMP06726,3,0
BIOQUÍMICA DE ALIMENTOS,PRTAL00935,3,0
BIOQUÍMICA DE ALIMENTOS,PRTAL00935L,0,2
BIOQUÍMICA GENERAL,FIMP08540,3,1
BIOQUÍMICA (ING. AGROP.),FIMP08052,2,1
BIOQUIMICA Y NUTRICION(1991),FIMP00927,2,2
BIOTECNOLOGÍA,FMAR04036,3,1
Biotecnología Ambiental,FIMCP002691,0,0
BIOTECNOLOGÍA DE ALIMENTOS,PRTAL00943,3,0
BIOTECNOLOGÍA DE ALIMENTOS,PRTAL00943L,0,2
BIOTECNOLOGÍA MOLECULAR,FMAR04689,3,1
BOMBAS Y COMPRESORES,FICT04168,4,0
BOTÁNICA,FMAR04572,3,0
BOTÁNICA,FIMP08524,0,4
BOTÁNICA GENERAL,FIMP07583L,0,1
BOTÁNICA GENERAL,FIMP07583,2,1
BOTANICA GENERAL Y TAXONOMIA(IP),FIMP06049,2,1
BOTÁNICA SISTEMÁTICA,FIMP07898,2,2
BOVINOTECNIA,FIMP07872,3,1
BRANDING,ICHE04481,4,0
BUSINESS CORRESPONDENCE I,PRTCO03350,4,0
BUSINESS CORRESPONDENCE II,PRTCO03368,4,0
BUSINESS SIMULATION,ICHE04051,4,0
BUSINESS STRATEGIES,ICHE04887,4,0
BUSQUEDA Y SALVAM.,PRTP01388,3,1
CAD AVANZADO EN TRES DIMENSIONES,FIMP06452,2,1
CADENAS DE ABASTECIMIENTO: E-BUSINESS,ICM02634,4,0
CÁLCULO DE UNA VARIABLE,MATG1001,3,2
CALCULO DE VARIABLE REAL,ICM000679,0,0
CALCULO DE VARIAS VARIABLES,ICM000737,0,0
CÁLCULO DE VARIAS VARIABLES,MATG1002,3,2
CÁLCULO DE VARIAS VARIABLES (2005),ICM01966,5,0
CÁLCULO DIFERENCIAL (2005),ICM01941,5,0
CALCULO I (B),ICM00216,5,0
CALCULO II (B),ICM00646,5,0
CALCULO III (B),ICM00653,5,0
CÁLCULO INTEGRAL (2005),ICM01958,5,0
CALIDAD DE AGUA,FMAR01677,2,2
CALIDAD DE LA ENERGÍA Y ANÁLISIS DE ARMÓNICOS,FIEC05967,4,0
CALIDAD DE SUELOS,FMAR02501,2,2
Calidad en el Servicio,FIMCM000752,0,0
CALIDAD EN GESTIÓN APLICADA A ALIMENTOS,PRTAL01024,3,0
Canales Electrónicos,EDCOM000984,0,0
CARRETERA I,FICT03400,2,2
CARRETERAS II,FICT03426,2,2
CASOS PRÁCTICOS DEL MARKETING,ICHE04879,3,0
CÁTEDRA ABIERTA,FIMP08169,3,0
CENTRALES ELÉCTRICAS,FIEC00703,4,0
CEREMONIAL Y PROTOCOLO,FMAR05041,4,0
CHARLAS PROFESIONALES(IEC),FIEC04390,3,0
CHINO-MANDARÍN BÁSICO B,CELEX00273,3,0
CIENCIA AMB. Y DESARROLLO SUSTENTABLE,FIMP07500,3,0
CIENCIA DE LOS MATERIALES,FICT02741,2,3
CIENCIA E INVESTIGACION,ICHE02998,4,0
CIENCIA MATER.CONSTRUCC.,FICT03137,4,0
CIENCIAS DE MATERIALES,FIMP03863,3,0
CIENCIAS DE MATERIALES,FIMP03863L,0,1
Ciencias Térmicas,FIMCP002329,0,0
Ciencia y Tecnología de Envases para Alimentos,FIMCP002550,0,0
CIMENTACIÓN,FICT02295,2,2
CINEMÁTICA DE LA MAQUINARIA,PRTME00745L,0,2
CINEM. DE LA MAQUINARIA,PRTME00745,2,2
CINÉTICA QUÍMICA (2005),ICQ00471,3,2
CLIMATIZACIÓN,PRTME01065,2,2
CLIMATIZACIÓN,PRTME01065L,0,2
CLIMATOLOGÍA Y METEOROLOGÍA,FMAR03756,3,0
CLIMA Y SOCIEDAD,FIMCM000562,0,0
COLOR DE LA IMAGEN,EDCOM001248,0,0
COLOR DIGITAL,EDCOM01172,4,0
CombustiÃ³n,FIMCP002386,0,0
COMBUSTIBLES (INQ 2005),ICQ00760,4,0
COMBUSTION,FIMP02485,3,0
COMERC.INTERN. Y DER.ECONOM.,ICHE01610,3,0
COMERCIO EXTERIOR (IC),ICHE02378,4,0
COMERCIO EXTERIOR(PROTEP),ICHE01339,3,2
COMERCIO INTERNACIONAL,ICHE04929,4,0
COMERCIO INTERNACIONAL,ICHE02808,3,0
COMMERCE EXTERIEUR,ICHE04036,4,0
COMMERCE INTERNATIONAL,ICHE04069,4,0
COMPASES,PRTP01198,3,1
COMPENSACIONES Y BENEFICIOS,ICHE000984,0,0
COMP.HUMANO ETICA(TJ),PRTCO01834,4,0
COMPLETACIÓN,FICT01602,4,0
COMP. MULTICAPA  AVANZADA Y EFECTOS DIG.,EDCOM001149,0,0
COMPORTAMIENTO DEL CONSUMIDOR,ICHE02014,4,0
COMPORTAMIENTO ORGANIZACIONAL,FIEC001917,0,0
COMPORTAMIENTO ORGANIZACIONAL,ICHE03681,3,0
COMPORTAMIENTO ORGANIZACIONAL,FIMP05520,4,0
COMPOSICIÓN AUDIOVISUAL,EDCOM01149,6,0
COMPOSICIÓN DE GUIONES,PRTCO02592,4,0
COMPOSICIÓN DIGITAL,PRTCO02949,0,4
COMPOSICIÓN DIGITAL,PRTCO02949L,0,4
Computación Forense,FIEC002089,0,0
COMPUTACIÓN Y SOCIEDAD,FIEC06411,4,0
COMUNICAC.DATOS(TN),PRTCO02105,0,0
ComunicaciÃ³n EstratÃ©gica,EDCOM001420,0,0
Comunicación Científica,FIMCP002345,0,0
COMUNICACION DE DATOS,FIEC01578,4,0
COMUNICACIÓN DE LA CIENCIA Y LA TECNOLOGÍA,EDCOM00612,6,0
COMUNICACION EN LA EMPRESA,ESPAE001578,0,0
COMUNICACIONES,PRTP01289,3,1
COMUNICACIONES ANALÓGICAS,FIEC04952,4,0
COMUNICACIONES DE DATOS,FIEC04655,4,0
COMUNICACIONES DIGITALES,FIEC04960,4,0
COMUNICACIONES DIGITALES MODERNAS,FIEC000745,0,0
COMUNICACIONES INALÁMBRICAS,FIEC04408,4,0
COMUNICACIONES ÓPTICAS,FIEC04994,4,0
COMUNICACIONES SATELITALES,FIEC03194,4,0
COMUNICACIÓN I,IDIG2002,3,0
COMUNICACIÓN SOCIAL Y NUTRICIÓN,PRTAL01297,3,0
COMUNICACIÓN Y ECOLOGÍA,EDCOM00679,3,1
COMUNICACIÓN Y EDUCACIÓN,EDCOM00687,3,1
COMUNICACIÓN Y LIDERAZGO,ESPAE002808,0,0
COMUNICACIÓN Y PRESENTACIONES EFECTIVAS,ICHE04853,3,0
COMUNICACIÓN Y PROGRAMACIÓN NEUROLINGÜÍSTICA,ICHE04408,4,0
CONCEPT.ESTRUCT.DATOS(TF),PRTCO01743,4,0
CONFIABILIDAD DE SISTEMAS DE POTENCIA,FIEC05520,4,0
CONGRESOS Y EVENTOS,FMAR04333,4,0
CONMUTACIÓN Y ENRUTAMIENTO I,FIEC05603,5,0
CONMUTACIÓN Y ENRUTAMIENTO II,FIEC05611,5,0
CONSERVACIÓN DE LOS ECOSISTEMAS,FMAR03574,4,0
CONSERV. Y RAC. ENERGETICA,FIMP02733,3,0
CONSTRUCCIÃN DE EQUIDAD EN LOS PROYECTOS,ESPAE004481,0,0
CONSTRUCCIÃN DE INDICADORES,ESPAE004473,0,0
CONSTRUCCIÓN,FICT02998,2,2
